,description
10,Aberlour A’Bunadh (Batch 41) - For background on A’Bunadh see my reviews of Batches 29 and 30. It’s no secret that Aberlour A’Bunadh (pronounced as the rep from Pernod Ricard stressed… several times… A-ber-LAU-er Ah BOON Ar) is one of my favorite whiskies. I figured that after writing about batches 29 AND 30 that I wouldn’t revisit the brand unless I someday bought another bottle. Serendipitously (how often do you get to use THAT word?) the Pernod Ricard rep at a recent K&L Tasting was pouring both Scapa 16 and the new batch 41 of my old friend A’Bunadh!As a reminder A’Bunadh is bottled at cask strength from a vatting (mixture) of Aberlour malts from varying ages (10 to 15 years old). 100% of the malt is aged in barrels that once held oloroso sherry. Each bottling run (indicated by a batch number on the bottle) will have slightly different alcohol by volume ranging from 58.9% to 60.9%. Each batch will also vary in flavor according to the whims of the whiskymaker and the individual characteristics of the source casks.(This tasting is from the recent Batch Number 41 bottled in 2012 at 59% ABV)Nose Coffee grounds and balsamic reduction. Dark chocolate nibs. Black cherry. Much darker notes and less fresh or red fruit than previous batches but arguably more interesting.Palate Familiar mouth-puckering raspberry sour dark oak drying tannin and strawberry. Just like old times.Finish Very long with raisin and resin. Mouth-drying tannins. The fruit here is dried and concentrated and doused in sticky caramelized sugar. Ends with some faint marshmallow (from the oak influence).With Water Slightly lighter fruits; brings out strawberry in the nose. Reveals balsamic vinegar on the palate and somewhat tames the burn.Overall Not as much of a sherry bomb as previous batches but more complex and brooding. Still burns like sweet sweet fire. The price is not as approachable as days gone by but $60 for a fantastic sherried cask-strength whisky is still not a bad deal. I continue to recommend this malt highly.
11,Aberlour A’Bunadh (Batch 57) - As the coming nuptials of my brother-in-law approach I am reminded of the second dram he introduced me to back when my knowledge of scotch started and stopped with Johnnie Walker. Not one to play anything cautiously he first had me take a glass of Laphroaig 10 year. Amazingly I wasn’t dissuaded so his second recommendation was an A’Bunadh at a raucous 59.9% ABV. I remember that the burn was like nothing I had experienced before – carefully painting every recess of my mouth with boiling tar – and I also remember being amazed and shocked that swallowing that blazing liquid inferno had no negative effect on my throat… filling me instead with a comforting warming glow. “That was not like taking shots” I remember thinking. “This is the way alcohol is meant to be enjoyed.” It would not be far off to say that those two glasses of nectar launched my fascination with single malt and led directly to my writing this blog.I look forward to sharing a bottle of something single malt and Scottish – perhaps even an A’Bunadh – with my brother-in-law as he buckles on that ball and chain is welcomed into the arms of wedded bliss.I wish I could review every batch of A’Bunadh but I would be literally drinking nothing BUT A’Bunadh. This bottle of Batch 57 caught my eye during my last trip to my favorite liquor store and reminded me that I haven’t reviewed a batch in awhile. Checking past posts I see that I’ve missed 15 (!) prior batches as my last review was Batch 41. At a resounding 60.7% ABV this is also the strongest A’Bunadh I’ve tried. As always this is aged exclusively in Spanish oloroso sherry casks and bottled at cask strength with no chill filtration.You can read my reviews of Batch 29 Batch 30 and Batch 41 for more background on the A’Bunadh.Nose Deeply raisiny with more rancio and balsamic than prior batches. STRONG nose tickle – need to keep nose out of the glass. Smells drier – less fresh/vibrant fruit and more oakiness and dried fruit. Deep in the glass – if you dare – there is a layer of unctuous gooey caramel and fudge brownie.Palate Syrupy body. Salted caramel and… OH GOD IT BURNS. Ok… once that’s out of the way the seared remnants of my tongue pick up deep sugary oak (maple syrup but not maple) dusty dried prunes and raisins faint fig jam sawdust and birch beer.Finish A layer of sooty charcoal that resolves into mouth-drying tannins cocoa nibs and an odd absence of fruit. Further sips confirm – lots of chocolate and oak no fruit. Weird.With Water Several drops of water amps up the nose tickle but also sweetens the aroma adding fudgy frosting and a touch more fruit. It still burns like fire on the tongue but the few fruit notes are brighter – more jelly than jam. The finish picks up a nice apple/cinnamon note and isn’t quite as dry. This batch benefits immensely from water. At this ABV you could probably use splashes instead of drops but taste as you go.Overall I have to say as much as I love A’Bunadh this is not my favorite batch. I’m a sucker for big fresh fruit in my sherried drams or heavily jammy/concentrated fruit flavors. This has neither. Although the chocolate notes are welcome and the flavor is as powerful and dense as always the whole comes across as drier woodier and with less fruit than usual. Reminds me more of a mid-aged (~15 yr) Glenfarclas than an Aberlour. Still a good dram just not up to my usual A’Bunadh standards
12,Aberlour Casg Annamh (Batch 1) - I drink so much Aberlour A’bunadh that I sometimes forget the distillery makes other whisky. This one a new permanent member of the Aberlour lineup (although oddly not yet listed on the website) is an NAS sherried single malt bottled at 48%. The Gaelic name (which seems to be par-for-the-course with legitimizing NAS whiskies) means ‘rare cask’. The whisky is aged in some inscrutable combination of European and American oak casks some of which held sherry at one time. The “two types” of American Oak could refer to refill and first-fill or it could mean ex-bourbon American oak casks that have been “seasoned” by sloshing some re-used sherry around in them. The whisky is bottled without added coloring or chill filtration.The price launched at $65 suggests to jaded consumers such as myself that Abelour is looking to entice A’bunadh adherents to a cheaper-to-make product. A’bunadh seems to have increased to the $75-$80 range and Aberlour may be hoping that fans will accept Casg Annamh at the old price point minus some sherry influence and ABV. Non-jaded consumers may welcome a new member to the Aberlour lineup and write off the price increases to the current market trend as a whole. I’ll leave it to you to decide how jaded you are.My sample was from a Flaviar Tasting Box and is labelled “Lot 18/10/20110”. I’m not sure if that’s Flaviar gibberish or what but this is from Casg Annamh Batch 1.Nose Balsam and juniper berry strike the nose first but the aroma is shy and seems to require a rest in the glass. After said rest there is mild sweet grape jam cherry Jolly Ranchers peanut butter baked goods like ‘blondie’ brownies soft butterscotch and a hint of banana. All of which remains shy and hard to tease out or muddy and confused.Palate Syrupy body. A moderate tongue burn is followed by sugar cookie dough Red Vines red candy apples and herbaceous throat lozenges. Again muddy and confused.Finish Medium-short. Some charcoal bitterness flecked with root beer and powdered cinnamon. Little fruit. Fades without much fanfare leaving a bit of menthol.With Water A few drops of water bring out a distinct fresh hay note in the aroma but not much else. The palate is cleaner with some licorice the finish rounder. Water doesn’t hurt but it also doesn’t fix what’s wrong here.Overall I’m not used to Aberlour being shy and to add insult to injury this is no sherry bomb. This seems to be an unsuccessful merging of sherried and ex-bourbon styles where the best elements of each is squashed by the presence of the other. The notes that I can detect are fleeting and inconsistent. I could imagine that midway through a full bottle of this one would come to appreciate its core complexity… but a sample is insufficient to do it justice. I am left without much desire to find a full bottle especially when A’bunadh and Aberlour 12 are still available.I usually don’t read the notes of other reviewers but I couldn’t help but notice the Internet at large seems to be on board with Casg Annamh. Perhaps they all sprung for a full bottle and it grew on them or perhaps a “softer” and “easier” A’bunadh is something that people other than me want. Take my review with a grain of salt and read some of those others before making a decision.
13,Alberta Rye Dark Batch Canadian Whisky - And now for something completely different. I’ve made fun of Canadian whisky in the past because of the slightly lax laws which allow Canadian distillers to mix things into their whisky that would make the SWA (Scotch Whisky Association) choke on its daily dram. Then along comes a product that shows the upside of such a liberal policy. Rather than try to explain exactly what’s in this I refer you to Drinkhacker’s excellent description. Suffice it to say this is two types of Canadian rye (12 years and 6 year of age) blended with 8% bourbon (actual bourbon purportedly Old Grand-Dad) and 1% sherry (actual sherry). Try getting something like that past the US’s TTB labeling review!We have something unique here people. Everyone knows that some whisky (specifically scotch) is aged in sherry barrels (some of which are “wet” with residual liquid sherry) but who puts actually sherry in the vat with the whisky? Who’s actually allowed to do that? Canadian distillers that’s who.Nose A robust – dare I say “bold”? – aroma of fungal wine caves sweet fortified wine (duh) and soft sweet round Canadian “rye”. More fun than serious this smells like a glass of something a bunch of drunk whisky people would mix together after a particularly long cask-strength tasting. You can tell there’s sherry (as opposed to sherry cask-aged whisky) in here because the aromas are winey and with a dense fresh watery fruit note that one does not normally find in whisky. If you think of this like a bottled cocktail the effect is quite pleasant and very well-integrated.Palate Syrupy body. Black raisins pine resin soft wheat and red wine dregs. After the initial (very tame) tongue burn there is some malty cereal sweetness like marshmallows and coconut shavings.Finish Long-ish. The sherry pervades with raisins resinous sappy wood and the barest reminder that this is rye cloves. Fades without bitterness.With Water A few drops of water bring very sweet melted vanilla ice cream to the nose along with a heightened sense of rye spice (cinnamon primarily). muting the “wet” sherry notes. The palate is downright “smooth” (aka doesn’t burn) with a little water but no new notes appear. Water is fully optional here.Overall I think the best way to think of Dark Batch is as a bottled cocktail and a damn good one at that. A masterful balance of dark resinous sherry with your typical round sweet Canadian rye. At a very reasonable price this is something that could form a tasty satisfying drink neat or as a component in some unique cocktails. In fact it’s quite pleasant by itself on ice.I’ve marked it “Must Try” because this defies classification and is really something every whisky lover ought to experience. This is especially true of every whisky lover (guilty) who has ever tried to tip a little fresh sherry into a glass of whisky to see what happens. (Hint It didn’t go well).
14,Alchemist: The Macallan (15 year) - Alchemist is a small independent bottler known for an eclectic catalog which includes not only whisky but calvados rum and armagnac as well. Their 16 year-old Highland Park finished in Calvados (French apple brandy) bottles is one of the finest whiskies I’ve ever tried (review upcoming). It’s also one of the bottles that I hear talked about most frequently around K&L Wines in Redwood City. Alas it’s long gone. When K&L had a closeout on Alchemist a few months ago I picked up the Highland Park and also this one a simple Macallan 15. Like the distillery 18 this had been matured exclusively in sherry butts.Nose Piquant old concentrated sherry. Meatier than distillery-bottled releases from The Macallan. This is a little more like GlenDronach with some rubber caramelized onions and teriyaki jerky. Underneath there is a strong current of sweet plums raisins and smoked nuts. Very heavily sherried but not as candy-apple sweet as some Macallans.Palate On the tongue there is an abundance of nuts first hazelnut and then some darker notes of roasted almonds and chestnuts as well as cocoa nibs dense prunes brandy and a touch of molasses. Many of the aromas continue in the latter part of the palate with dark resinous meaty sherry notes.Finish A bit more fruity with the sweeter notes left on the tongue. Cherries raspberries and some lingering dried fruits peanut butter and a hint of rubber.With Water The nose becomes a tad sharper and only the lighter fruits some vanilla bean and a suggestion of rubber become detectable. The palate becomes far sweeter chocolate-covered cherries taffy port wine and hazelnut butter. The finish is unchanged. Definitely drink your fill without water first before trying a few drops as a curiosity. It’s better without the water in my opinion.Overall A very different and enjoyable alternative to distillery-released Macallan. It clearly deviates from the distillery profile of sweetness bright red fruit and elegant old sherry. Here there are wilder notes and sharper edges. Almost savory at times and eclectic. Luckily it never goes too far off course is never bitter or rancid and doesn’t contain any truly ‘off’ notes. An experience and an education in the wide range of flavors available from sherried scotch. Note that many of these flavors are available in the cheaper (and more readily available) GlenDronach distillery bottlings since it would be difficult to locate this particular bottle now that most of it has sold out.
15,Alexander Murray Bon Accord - The independent bottler Alexander Murray & Co. is probably best known for its pioneering work in large-scale independent bottling for Costco (Kirkland brand) and Trader Joe’s. I’ve reviewed a number of their products before and my impression of their work is medium-quality whisky for bottom-dollar prices. Sometimes that’s just what I’m after.With recent releases such as Polly’s Casks and this Bon Accord the company seems to be trying to branch out and make a standalone name for their own creative blending and barrel selection prowess rather than riding the Kirkland/TJs coat tails. Bon Accord here refers to the agreement that an independent bottler sometimes has to make with a whisky producer to not disclose the distillery name. The bottle has no age statement so all we really know is that it is a Highland single malt from an ex-bourbon barrel and that is bottled at the bare legal minimum of 40% ABV. The release is a vatting of different ages from that undisclosed distillery so it’s not a single barrel. There is only one batch of Bon Accord (so far) but the marketing material on the website seems to be positioning it as an entire range so I wouldn’t be surprised to see future batches from other “unnamed” distilleries.I spent some time sleuthing online looking for guesses as to what distillery this is from but I couldn’t find anything credible. There are so many Highland distilleries (technically could also be a Speysider). Still it’s worth noting that the Highland town of Aberdeen has had the phrase “Bon Accord” in its coat of arms since 1672. This only narrows it down a little. Fettercairn? Royal Lochnagar? Glenglassaugh? Ardmore? Probably not Knockdhu Glen Garioch or GlenDronach… but who knows.Nose Smells like a blend (it’s not). White peach stale hay green apple. Some banana after a rest in the glass. The rest also adds an aroma of fresh laundry but also a sense of watery blandness that suggests a lack of potency.Palate Silky mouthfeel. Very light tongue burn. Bananas foster up front with mild sweetness and a nice round cereal note. Pleasant if unremarkable. Forgettable even.Finish Short. Caramel and then a fading hint of black licorice. Some slight oaky bitterness.With Water A scant few drops of water wake up the nose a little with some extra alcohol tickle but no additional aromas. The mouthfeel is unaffected as is the flavor. The finish might have picked up a fruity twang. Water neither helps nor hurts here which is actually good news for those looking to drink theirs on the rocks.Overall A middle-of-the-road middling malt without much to say for itself. It’s not bad but it doesn’t exactly jump out of the glass either. It’s priced correctly under $30 but nothing about it justifies purchasing it over other options in that range. I do wish it were bottled at 46% ABV.A solid meh.
16,Alexander Murray: Mortlach (16 year) 1995 – 2011 - If I had the cash this blog would become The Mortlach Noob! If it weren’t for Diageo that might be possible but as I mentioned in last week’s review of a G&M Mortlach 15 year the official brand lineup announced in 2014 starts at $110. Ouch.This bottling at nearly half the price of the Gordon & MacPhail 15 year was distilled in 1995 and aged in “oak casks” according to the label (duh) for 16 years. After the tasting below it’s clear to me that these were ex-bourbon casks or perhaps 4th-refill sherry. That could account for the price difference between this and other sherried Mortlachs as the Alexander Murray is only $45! That’s a steal. I found this bottle at a Trader Joe’s in California but I believe Alexander Murray is expanding their retail presence and might be available elsewhere. I know I’ve seen some Alexander Murray bottlings at Costco although not this one.Nose Tannic slightly acidic oak. Something tart like apple cider vinegar meets the nose first and further digging is necessary to find the meaty/fruity notes that Mortlach is known for. Deeper in the glass I find dried apple slices fresh hay and a faint charry smokiness. Butterscotch makes an appearance but the overall aroma is not sweet.Palate Texturally heavy not quite oily. First there is a pleasant wave of toasty grains and cashew butter followed by more dried apple and dusty orange peel.Finish Warming; medium length. Roasted nuts spun sugar fading without bitterness.With Water Several drops of water seem to wash out the aroma leaving only faint hay. The palate becomes thinner and acquires only a waxy/glue note. The finish however is a little fruitier. I’d skip the water here. At 40% ABV it certainly doesn’t need it.Overall While it pales in a side-to-side comparison with classical sherry-aged Mortlach like the G&M 15 year this Murray bottling stands on its own with a very pleasing combination of roasted/toasted/meaty flavors and without cloying sweetness on the palate. This is a cautious “Recommended” based on the price-quality ratio. The nose and finish are a little anemic and the 40% ABV bottle strength was a mis-step but the price as they say is right.
17,Amrut ‘Intermediate Sherry Matured’ - You’ve got to hand it to a company willing to do crazy things with maturation to create an innovative product. Since flavoring additives are frowned upon in whisky (and against the law in Scotland) producers must use their aging barrels to impart character that isn’t present at the time of distillation. In most of the industry this means a long sleep in ex-bourbon barrels followed by a 1-year dip in a more exotic container such as port pipes rum casks or white wine barrels. Leave it to up-and-coming Indian malt whisky producer Amrut to turn this process on its head and sandwich an ex-sherry maturation in between two ex-bourbon maturations. This double-dip theoretically gives the sherry influence time to ‘burn in’ while the malt rests in the final bourbon barrel. The result (at a hefty 57.1% ABV) is pungent and fruity with intense dried fruits. So far the best Amrut I’ve had. Unfortunately it also comes with a $99 pricetag which is far more than I’d suggest paying for a full bottle unless you’re a big fan of this style.Thanks to Colin for organizing the Amrut Twitter Tasting and sending me the samples!Nose The sherry effect is apparent – deep figgy raisiny goodness over a layer of Amrut banana and cream. There are additional hints of coconut blueberry pound cake and a suggestion of tobacco. A dash of water – as is always the case with Amrut – yields waves of banana and a lot more sweetness… like vanilla taffy.Palate Creamy mouthfeel upfront another hit of tobacco leaf which is succeeded by the same dryness on the tongue I’ve seen with the other Amruts. When it resolves there is a nice blueberry syrup dark chocolate nibs dried fig fried plantain fresh blackberries and the everpresent banana. The water if anything draws out that banana.Finish Medium length. The sherry flavors turn slightly rancid on the finish also revealing a bit of bitterness. There is finally a moderate sweetness – roasted beets? Some hard wood tannins dry the walls of the mouth. On the tail end there is a final resonant note of juicy black raisin. Water sweetens the finish hiding some of those rancid notes.Overall Very different from sherry-finished Scotches I’ve had – the fruitiness is subdued and suggests dried rather than jammed dark fruits. This leaves a difficult-to-describe combination of wood extracts dried herb flavors and rancio. There is certainly more here to discover and I think the play off of standard Amrut flavors is successful. Definitely a whisky to ponder. I recommend a few drops of water.
18,Amrut Fusion - ‘Fusion’ is a word that is thrown around far too much in modern cuisine. In my opinion the act of combining elements from two different cultures should only be called ‘Fusion’ if it successfully integrates the elements of those cultures to form a truly new thing distinct from the source material. Amrut’s most awarded bottling to date does this brilliantly. A vatting of Indian malted barley and imported peated Scottish malt distilled separately and married in ex-bourbon barrels in Bangalore yields a bright citrusy malt with many dimensions – very much greater than the sum of its parts.Nose Light and lemony with elements of a Lowlander. Some green apple green banana and green papaya. Mossy with green honeysuckle. After a rest in the glass the Amrut banana starts to come through.Palate Silky texture but not heavily bodied. Bright acidic notes up front – apple lemon club soda with some light smoke. After a marginal tongue burn (for 50% ABV it’s not too dry) deeper flavors of smoked almonds caramel and butterscotch banana trifle malty cereal grains and bakery sweets emerge. Finish Medium-long with some nice light brown sugar light oak and malt. Lingering wafts of smoke and more nuttiness. Not bitter at all. Very pleasant.Overall I was a bit put off by the banana in the nose – just this side of rancid which seems to be an Amrut hallmark – but on the tongue this dram blooms into a medium-complex whisky with no apparent flaws. A few tropical notes give it an exotic style which might appeal to those tired of Scotch standards. The peated barley adds dimension without ever overbalancing the malt – a very successful marriage of the two styles. The addition of water doesn’t have any effect that I can determine.I marked this as a “Must Try” because I believe that every whisky lover should try spirits that are outside of the usual boundaries of old-world whisky. I think Fusion is a perfect introduction to Indian malt and is (so far) the only Amrut that I can recommend without any reservations. Progressive bars should carry this and the standard 43% ABV Amrut so it shouldn’t be too hard to find a way to taste it.
19,Amrut Peated - Amrut (see my other Amrut reviews here) continues to epitomize (and revolutionize) the category of world whisky. In fact within only a few more years they will warrant a category (Indian Whisky) all to themselves. A prolific library of single-malt releases a reputation for experimentation and collaboration and a very active promotion/marketing department are just some of the reasons that Amrut is becoming (or has become) a powerhouse in the industry.All that said I have to sheepishly admit what my long-time readers already know. I don’t like banana flavors and Amrut is particularly heavy on them. For that reason take my Amrut reviews with a grain of salt. Better yet go out then and try some yourself. (Don’t miss Fusion though arguably the best in their lineup).Here are my notes for the baseline peated expression (peated around 24 ppm) “Amrut Peated”. The peated malt is flown in from Scotland (supposedly from Islay?) and distilled and aged in Bangalore India. The company also bottles a cask-strength version.Nose Very peaty with an earthy clay-like scent. Not sweet more umami – seaweed and soy. Deeper in there is a suggestion of kiwi the everpresent Amrut banana and black tea. A dash of water only draws out a note of cigarette smoke.Hint Let it breathe a little initially there is a bit of a rotten banana peel smell that dissipates after a few minutes undisturbed in the glass.Palate Very nice full body a blast of intense peat and quite a lot of tongue burn almost grain-like in its roughness. This fades quickly leaving greenwood smoke seaweed tobacco and more earthy clay. The water brings some acidity to the experience but seems to thin the body. There is a nice additional lime flavor.Finish Expectedly long a bit of dark chocolate creeps in along with spent tea leaves cigar or cigarette ash and a little vegetal bitterness at the tail end.Overall Reminds me a bit of Finlaggan – where the youth of the malt means all of the complexity is in the peat which delivers a lot of intense flavor but not a lot of secondary notes. The alcohol burn is a bit rough – likely because of the quick maturation – but nevertheless this is a powerful peaty kick in the head that any true peat-head should take a look at. Preferably without paying the somewhat inflated price for a full bottle. I wouldn’t bother with the water unless it tastes a little sluggish to you.
